ENSG00000223972.5	ENSG00000223972	DDX11L1	transcribed_unprocessed_pseudogene
ENSG00000227232.5	ENSG00000227232	WASH7P	unprocessed_pseudogene
ENSG00000278267.1	ENSG00000278267	MIR6859-1	miRNA
ENSG00000243485.5	ENSG00000243485	MIR1302-2HG	lncRNA
ENSG00000284332.1	ENSG00000284332	MIR1302-2	miRNA
ENSG00000237613.2	ENSG00000237613	FAM138A	lncRNA
ENSG00000268020.3	ENSG00000268020	OR4G4P	unprocessed_pseudogene
ENSG00000240361.2	ENSG00000240361	OR4G11P	transcribed_unprocessed_pseudogene
ENSG00000186092.6	ENSG00000186092	OR4F5	protein_coding
ENSG00000238009.6	ENSG00000238009	AL627309.1	lncRNA
ENSG00000239945.1	ENSG00000239945	AL627309.3	lncRNA
ENSG00000233750.3	ENSG00000233750	CICP27	processed_pseudogene
ENSG00000268903.1	ENSG00000268903	AL627309.6	processed_pseudogene
ENSG00000269981.1	ENSG00000269981	AL627309.7	processed_pseudogene
ENSG00000239906.1	ENSG00000239906	AL627309.2	lncRNA
ENSG00000241860.7	ENSG00000241860	AL627309.5	lncRNA
ENSG00000222623.1	ENSG00000222623	RNU6-1100P	snRNA
ENSG00000241599.1	ENSG00000241599	AL627309.4	lncRNA
ENSG00000279928.2	ENSG00000279928	FO538757.1	unprocessed_pseudogene
ENSG00000279457.4	ENSG00000279457	WASH9P	unprocessed_pseudogene
ENSG00000273874.1	ENSG00000273874	MIR6859-2	miRNA
ENSG00000228463.10	ENSG00000228463	AP006222.1	transcribed_processed_pseudogene
ENSG00000286448.1	ENSG00000286448	AP006222.2	lncRNA
ENSG00000236679.2	ENSG00000236679	RPL23AP24	processed_pseudogene
ENSG00000236601.2	ENSG00000236601	AL732372.1	lncRNA
ENSG00000237094.12	ENSG00000237094	AL732372.2	transcribed_unprocessed_pseudogene
ENSG00000269732.1	ENSG00000269732	WBP1LP7	processed_pseudogene
ENSG00000284733.1	ENSG00000284733	OR4F29	protein_coding
ENSG00000233653.3	ENSG00000233653	CICP7	processed_pseudogene
ENSG00000250575.1	ENSG00000250575	AL732372.3	unprocessed_pseudogene
ENSG00000278757.1	ENSG00000278757	RF00026	snRNA
ENSG00000230021.10	ENSG00000230021	AL669831.3	transcribed_processed_pseudogene
ENSG00000235146.2	ENSG00000235146	AC114498.1	lncRNA
ENSG00000225972.1	ENSG00000225972	MTND1P23	unprocessed_pseudogene
ENSG00000225630.1	ENSG00000225630	MTND2P28	unprocessed_pseudogene
ENSG00000237973.1	ENSG00000237973	MTCO1P12	unprocessed_pseudogene
ENSG00000278791.1	ENSG00000278791	AC114498.2	miRNA
ENSG00000229344.1	ENSG00000229344	MTCO2P12	unprocessed_pseudogene
ENSG00000240409.1	ENSG00000240409	MTATP8P1	unprocessed_pseudogene
ENSG00000248527.1	ENSG00000248527	MTATP6P1	unprocessed_pseudogene
ENSG00000198744.5	ENSG00000198744	MTCO3P12	unprocessed_pseudogene
ENSG00000268663.1	ENSG00000268663	WBP1LP6	processed_pseudogene
ENSG00000284662.1	ENSG00000284662	OR4F16	protein_coding
ENSG00000229376.3	ENSG00000229376	CICP3	processed_pseudogene
ENSG00000228327.3	ENSG00000228327	AL669831.1	transcribed_unprocessed_pseudogene
ENSG00000223181.1	ENSG00000223181	RNU6-1199P	snRNA
ENSG00000229905.1	ENSG00000229905	AL669831.2	lncRNA
ENSG00000237491.10	ENSG00000237491	AL669831.5	lncRNA
ENSG00000285268.1	ENSG00000285268	AL669831.7	transcribed_processed_pseudogene
ENSG00000230092.7	ENSG00000230092	AL669831.4	transcribed_unprocessed_pseudogene
ENSG00000177757.2	ENSG00000177757	FAM87B	lncRNA
ENSG00000228794.9	ENSG00000228794	LINC01128	lncRNA
ENSG00000225880.5	ENSG00000225880	LINC00115	lncRNA
ENSG00000230368.2	ENSG00000230368	FAM41C	lncRNA
ENSG00000234711.1	ENSG00000234711	TUBB8P11	unprocessed_pseudogene
ENSG00000283040.1	ENSG00000283040	AL669831.6	transcribed_unprocessed_pseudogene
ENSG00000272438.1	ENSG00000272438	AL645608.6	lncRNA
ENSG00000230699.2	ENSG00000230699	AL645608.2	lncRNA
ENSG00000241180.1	ENSG00000241180	AL645608.4	lncRNA
ENSG00000223764.2	ENSG00000223764	LINC02593	lncRNA
ENSG00000187634.12	ENSG00000187634	SAMD11	protein_coding
ENSG00000188976.11	ENSG00000188976	NOC2L	protein_coding
ENSG00000187961.14	ENSG00000187961	KLHL17	protein_coding
ENSG00000187583.10	ENSG00000187583	PLEKHN1	protein_coding
ENSG00000187642.9	ENSG00000187642	PERM1	protein_coding
ENSG00000272512.1	ENSG00000272512	AL645608.7	lncRNA
ENSG00000188290.10	ENSG00000188290	HES4	protein_coding
ENSG00000187608.10	ENSG00000187608	ISG15	protein_coding
ENSG00000231702.2	ENSG00000231702	AL645608.3	processed_pseudogene
ENSG00000224969.1	ENSG00000224969	AL645608.1	lncRNA
ENSG00000188157.15	ENSG00000188157	AGRN	protein_coding
ENSG00000242590.1	ENSG00000242590	AL645608.5	lncRNA
ENSG00000217801.10	ENSG00000217801	AL390719.1	transcribed_unprocessed_pseudogene
ENSG00000273443.1	ENSG00000273443	AL645608.8	lncRNA
ENSG00000237330.3	ENSG00000237330	RNF223	protein_coding
ENSG00000131591.17	ENSG00000131591	C1orf159	protein_coding
ENSG00000285812.1	ENSG00000285812	AL390719.3	lncRNA
ENSG00000223823.1	ENSG00000223823	LINC01342	lncRNA
ENSG00000207730.3	ENSG00000207730	MIR200B	miRNA
ENSG00000207607.3	ENSG00000207607	MIR200A	miRNA
ENSG00000198976.1	ENSG00000198976	MIR429	miRNA
ENSG00000272141.1	ENSG00000272141	AL390719.2	lncRNA
ENSG00000205231.1	ENSG00000205231	TTLL10-AS1	lncRNA
ENSG00000162571.13	ENSG00000162571	TTLL10	protein_coding
ENSG00000186891.14	ENSG00000186891	TNFRSF18	protein_coding
ENSG00000186827.11	ENSG00000186827	TNFRSF4	protein_coding
ENSG00000078808.17	ENSG00000078808	SDF4	protein_coding
ENSG00000176022.7	ENSG00000176022	B3GALT6	protein_coding
ENSG00000184163.3	ENSG00000184163	C1QTNF12	protein_coding
ENSG00000260179.1	ENSG00000260179	AL162741.1	lncRNA
ENSG00000160087.20	ENSG00000160087	UBE2J2	protein_coding
ENSG00000230415.1	ENSG00000230415	LINC01786	lncRNA
ENSG00000162572.20	ENSG00000162572	SCNN1D	protein_coding
ENSG00000131584.19	ENSG00000131584	ACAP3	protein_coding
ENSG00000278073.1	ENSG00000278073	MIR6726	miRNA
ENSG00000169972.12	ENSG00000169972	PUSL1	protein_coding
ENSG00000127054.20	ENSG00000127054	INTS11	protein_coding
ENSG00000283712.1	ENSG00000283712	MIR6727	miRNA
ENSG00000240731.1	ENSG00000240731	AL139287.1	lncRNA
ENSG00000224051.7	ENSG00000224051	CPTP	protein_coding
ENSG00000169962.5	ENSG00000169962	TAS1R3	protein_coding
ENSG00000107404.20	ENSG00000107404	DVL1	protein_coding
ENSG00000284372.1	ENSG00000284372	MIR6808	miRNA
ENSG00000162576.16	ENSG00000162576	MXRA8	protein_coding
ENSG00000175756.13	ENSG00000175756	AURKAIP1	protein_coding
ENSG00000223663.2	ENSG00000223663	NDUFB4P8	processed_pseudogene
ENSG00000221978.12	ENSG00000221978	CCNL2	protein_coding
ENSG00000224870.7	ENSG00000224870	MRPL20-AS1	lncRNA
ENSG00000242485.6	ENSG00000242485	MRPL20	protein_coding
ENSG00000264293.2	ENSG00000264293	RN7SL657P	misc_RNA
ENSG00000272455.1	ENSG00000272455	AL391244.2	lncRNA
ENSG00000235098.8	ENSG00000235098	ANKRD65	protein_coding
ENSG00000225905.1	ENSG00000225905	AL391244.1	lncRNA
ENSG00000205116.3	ENSG00000205116	TMEM88B	protein_coding
ENSG00000225285.1	ENSG00000225285	LINC01770	lncRNA
ENSG00000179403.12	ENSG00000179403	VWA1	protein_coding
ENSG00000215915.9	ENSG00000215915	ATAD3C	protein_coding
ENSG00000160072.19	ENSG00000160072	ATAD3B	protein_coding
ENSG00000284740.1	ENSG00000284740	AL645728.2	transcribed_unprocessed_pseudogene
ENSG00000197785.13	ENSG00000197785	ATAD3A	protein_coding
ENSG00000205090.9	ENSG00000205090	TMEM240	protein_coding
ENSG00000160075.12	ENSG00000160075	SSU72	protein_coding
ENSG00000215014.5	ENSG00000215014	AL645728.1	lncRNA
ENSG00000274481.1	ENSG00000274481	AL691432.3	processed_pseudogene
ENSG00000228594.4	ENSG00000228594	FNDC10	protein_coding
ENSG00000286989.1	ENSG00000286989	AL691432.4	lncRNA
ENSG00000272106.1	ENSG00000272106	AL691432.2	lncRNA
ENSG00000197530.12	ENSG00000197530	MIB2	protein_coding
ENSG00000189409.13	ENSG00000189409	MMP23B	protein_coding
ENSG00000248333.8	ENSG00000248333	CDK11B	protein_coding
ENSG00000272004.1	ENSG00000272004	FO704657.1	lncRNA
ENSG00000189339.11	ENSG00000189339	SLC35E2B	protein_coding
ENSG00000269737.2	ENSG00000269737	AL691432.1	transcribed_processed_pseudogene
ENSG00000215914.4	ENSG00000215914	MMP23A	unprocessed_pseudogene
ENSG00000008128.23	ENSG00000008128	CDK11A	protein_coding
ENSG00000268575.1	ENSG00000268575	AL031282.2	lncRNA
ENSG00000227775.3	ENSG00000227775	AL031282.1	transcribed_processed_pseudogene
ENSG00000215790.7	ENSG00000215790	SLC35E2A	protein_coding
ENSG00000008130.15	ENSG00000008130	NADK	protein_coding
ENSG00000078369.18	ENSG00000078369	GNB1	protein_coding
ENSG00000231050.1	ENSG00000231050	AL109917.1	lncRNA
ENSG00000169885.10	ENSG00000169885	CALML6	protein_coding
